"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2017,1,"Ciutat Vella",1,"el Raval","Home",25802
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Home",8354
2017,1,"Ciutat Vella",3,"la Barceloneta","Home",7455
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home",11309
2017,2,"Eixample",5,"el Fort Pienc","Home",15054
2017,2,"Eixample",6,"la Sagrada Família","Home",23587
2017,2,"Eixample",7,"la Dreta de l'Eixample","Home",20412
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home",19632
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home",27012
2017,2,"Eixample",10,"Sant Antoni","Home",18165
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Home",19822
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home",597
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Home",14716
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home",4895
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Home",7604
2017,3,"Sants-Montjuïc",16,"la Bordeta","Home",8734
2017,3,"Sants-Montjuïc",17,"Sants - Badal","Home",11204
2017,3,"Sants-Montjuïc",18,"Sants","Home",19332
2017,4,"Les Corts",19,"les Corts","Home",21364
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home",11191
2017,4,"Les Corts",21,"Pedralbes","Home",5658
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home",2317
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home",11640
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home",7722
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home",11844
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home",21487
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home",13392
2017,6,"Gràcia",28,"Vallcarca i els Penitents","Home",7333
2017,6,"Gràcia",29,"el Coll","Home",3465
2017,6,"Gràcia",30,"la Salut","Home",6057
2017,6,"Gràcia",31,"la Vila de Gràcia","Home",23035
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home",15664
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","Home",11815
2017,7,"Horta-Guinardó",34,"Can Baró","Home",4214
2017,7,"Horta-Guinardó",35,"el Guinardó","Home",17018
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home",4462
2017,7,"Horta-Guinardó",37,"el Carmel","Home",15073
2017,7,"Horta-Guinardó",38,"la Teixonera","Home",5615
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home",3198
2017,7,"Horta-Guinardó",40,"Montbau","Home",2280
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home",2741
2017,7,"Horta-Guinardó",42,"la Clota","Home",314
2017,7,"Horta-Guinardó",43,"Horta","Home",12536
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home",11776
2017,8,"Nou Barris",45,"Porta","Home",11625
2017,8,"Nou Barris",46,"el Turó de la Peira","Home",7165
2017,8,"Nou Barris",47,"Can Peguera","Home",1075
2017,8,"Nou Barris",48,"la Guineueta","Home",7040
2017,8,"Nou Barris",49,"Canyelles","Home",3279
2017,8,"Nou Barris",50,"les Roquetes","Home",7517
2017,8,"Nou Barris",51,"Verdun","Home",5749
2017,8,"Nou Barris",52,"la Prosperitat","Home",12375
2017,8,"Nou Barris",53,"la Trinitat Nova","Home",3454
