,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
1,Rao,,,4.5,,"Carrer de les Sitges, 3","Rao, Carrer de les Sitges, 3, 08001 Barcelona, Spain",41.3842946,2.1697057
2,Tucco Real Food Eixample,,€5 - €15,5.0,,"Carrer Consell de Cent, 247","Carrer Consell de Cent, 08470 Sant Celoni, Spain",41.6874889,2.4848143
3,Los Bellota,,€12 - €35,4.0,,"C/ Marina, 298","08729 Castellet i la Gornal, Spain",41.25977,1.6430355
4,Blavis,,,5.0,,"Carrer Saragossa, 85","Carrer Saragossa, 08859 Begues, Spain",41.3341686,1.9155743
5,Bar Santa Fe,,€3 - €13,5.0,,Wellington 17,"Wellington, Carrer de Wellington, 0805 Barcelona, Spain",41.3901664,2.1885772
6,IAKNI,,€15 - €25,5.0,,Carrer de Vilamari 3,"Carrer de Vilamarí, 8015 Barcelona, Spain",41.3750158,2.1539711
7,Viana,,€15 - €30,5.0,,"Carrer del Vidre, 7","Viana, Carrer del Vidre, 7, 08002 Barcelona, Spain",41.3798805,2.1761037
8,The Coffee House Barcelona,,"Cafe, European",5.0,,Valencia 143,"Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
9,Brugarol Barcelona,,€25 - €35,5.0,,"Salomo Ben Adret, 10","Carrer de Salomó ben Adret, 08002 Barcelona, Spain",41.3826033,2.1758837
10,Pura Vida Cocktails,,€6 - €16,4.5,,Carrer dels Mercaders 20,"Carrer dels Mercaders, 08800 Vilanova i la Geltrú, Spain",41.2267192,1.7261306
11,Gran Viana,,,5.0,,Carrer Dels Escudellers 24,"Ryans Pub, Carrer dels Escudellers, 24, 80002 Barcelona, Spain",41.3798549,2.1767194
12,Acces,,,4.5,,Aribau 55,"Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
13,Le Romane,,€15 - €35,5.0,,Carrer Muntaner 103,"Muntaner, Via Augusta, 08021 Barcelona, Spain",41.3986188,2.1428749
14,Jobs Restaurant,,€20 - €40,5.0,,Calle Mallorca 170,"Carrer Mallorca, 08110 Montcada i Reixac, Spain",41.4936096,2.1863173
15,Kiltro Restobar,,€4 - €15,5.0,,"Carrer del Montseny, 13","Kiltro, Carrer del Montseny, 13, 08012 Barcelona, Spain",41.4018337,2.1544437
16,Billy Brunch,,€3 - €17,5.0,,Carrer de Bailen 115,"Billy Brunch, Carrer de Bailèn, 115, 08009 Barcelona, Spain",41.3977377,2.1693568
17,Eixampeling Brunch Cafe & Bar,,,5.0,,Diputacion 158,"Catalonia, Spain",41.66667,2.0
18,Anita Flow,,,5.0,,"Consell de Cent, 413","Consell de Cent, Carrer del Consell de Cent, 8015 Barcelona, Spain",41.3754015,2.143262
19,Cremat 11,,€10 - €25,5.0,,Carrer Cremat Gran iXic 11,"Catalonia, Spain",41.66667,2.0
20,Teoric Taverna Gastronomica,,,5.0,,"Carrer de Bailen, 117","Teoric Taverna Gastronomica, Carrer de Bailèn, 117, 08009 Barcelona, Spain",41.3977804,2.1693012
21,Don Kilo Restaurant,,€6 - €19,5.0,,Carrer de Girona 133,"Carrer de Girona, Don Kilo Barcelona, 133, 08037 Barcelona, Spain",41.3978658,2.1669238
22,Pizzeria Bar Ottantotto,,€5 - €45,5.0,,"Passatge d'Utset, 2","Passatge d'Utset, 08088 Barcelona, Spain",41.4048222,2.1772777
23,Belchica bistro,,€10 - €60,5.0,,"Carrer de Villarroel, 60","Belchica, Carrer de Villarroel, 60, 08011 Barcelona, Spain",41.3836695,2.1589956
24,Taps,,,4.5,,"C/ Mare de Deu del Remei, 53","Mare de Déu del Remei, Carrer de Joan XXIII, 08243 Manresa, Spain",41.7270954,1.8317009
25,The Box,,,4.5,,Carrer D'en Gignas 30,"The box, Carrer d'en Gignàs, 30, 08002 Barcelona, Spain",41.3814112,2.1803117
26,Miss Simona Cafe-Gastro-Bar,,"Italian, Cafe, Mediterranean, European, Healthy",5.0,,Calle Mallorca 438 Local 1,"Carrer Mallorca, 08110 Montcada i Reixac, Spain",41.4936096,2.1863173
